szczegółowo	in detail
wychodzić z łóżka	to get out of bed
być z kogoś dumnym	to be proud of sb
zakładać sukienkę	to put on a dress
odświeżać swój angielski	to refresh your English
mieć więcej czasu	to have more time
spotykać się ze znajomymi	to meet your friends
mieć problemy	to have problems
zachowanie	a behavior
szalony tydzień	a crazy week
bałagan	a mess
profesjonalny nauczyciel	a professional teacher
przynajmniej	at least
na razie	for now
rozważać coś	to consider sth
przemyśleć swoje zachowanie	to think over your behavior
twoja wina	your fault
być wspaniałym	to be gorgeous
połowa czegoś	half of sth
Zastanawiam się, czy...	I'm wondering if...
wredny	mean
opracowywać plan	to come up with a plan
robić coś inaczej	to do sth differently
robić właściwą rzecz	to do the right thing
formatować dokumenty	to format documents
schodzić na dół	to go downstairs
wiedzieć lepiej	to know better
usuwać coś	to remove sth
być niezależnym od kogoś	to be independent of sb
elastyczny harmonogram	a flexible schedule
elastyczne godziny pracy	flexible working hours
zostawać do końca	to stay till the end
dowód	proof
robić coś efektywnie	to do sth efficiently
wchodzić do branży	to enter the industry
wprowadzać hasło	to enter the password
samolot	an aircraft
wspinać się po drabinie	to climb the ladder
wspinać się na ścianę	to climb a wall
wspinać się na górę	to climb a mountain
wspinać się na drzewo	to climb a tree
tyć [2]	to gain weight; to put on weight
praca licencjacka	a Bachelor's thesis
praca magisterska	a Master's thesis
uczyć matematyki	to teach Math
wyleczyć się z choroby	to recover from a disease
zwiedzać	to do sightseeing
zajęta łazienka	an occupied bathroom
oliwka	an olive
być krytycznym	to be critical
porywać kogoś	to kidnap sb
porywać dziecko	to kidnap a child
porywacz	a kidnapper
mieć wakat	to have an opening
być innym od czegoś	to be different from sth
zadzierać z kimś	to mess with sb
zwalniać kogoś z pracy	to lay sb off
pula kandydatów	a pool of candidates
zawężać coś	to narrow sth down
zawężać pulę kandydatów	to narrow down a pool of candidates
hotel	a hotel
gościć swoich znajomych	to have your friends over
sprzątać	to clean up
bomba	a bomb
dostawać kredyt hipoteczny	to get a mortgage
kupować mieszkanie	to buy an apartment
mieć wprawę	to be skillful
zaczynać grać na pianinie	to take up the piano
przezwyciężać swój strach	to get over your fear
zakładać kurtkę	to put on a jacket
przekazywać obowiązki	to hand over responsibilities
być zjaranym	to be stoned
być pod obserwacją	to be under surveillance
trzymać kogoś pod obserwacją	to keep sb under surveillance
mieć dostęp do czegoś	to have access to sth
mają dostęp do opieki medycznej	to have access to medical care
mieć dostęp do Internetu	to have access to the internet
mieć dostęp do systemu	to have access to the system
pocztą	by mail
pojawiać się w pracy	to show up at work
być zamieszanym w narkotyki	to be mixed up in drugs
wracać do więzienia	to go back to jail
być głupim	to be stupid
wchodzić z kimś w konflikt	to come into conflict with sb
postrzelić kogoś	to shoot sb
kryminalista	a criminal
kończyć się	to be over
jeden z dwóch	one out of two
wychodzić z biura	to leave the office
dziewczyna	a girl
wyciągać broń	to pull out a gun
odrzucać zaproszenie na ślub	to turn down an invitation to the wedding
opinia	an opinion
myśleć o czymś	to think about sth
pozwalać na coś	to allow sth
rozpoczynać produkcję	to go ahead with the production
współczuć komuś	to feel for sb
dopijać kawę do końca	to drink up your coffee
lekarz pierwszego kontaktu	a GP
powtarzać się	to repeat yourself
wymagać analizy (nie: require, demand)	to call for an analysis
Moim zdaniem...	In my opinion...
zarabiać pieniądze [2]	to make money; to earn money
praca	a job
nalegać, żeby...	to insist that...
pistoletem	with a gun
nożem	with a knife
butelką	with a bottle
telefonem komórkowym	with a cell phone
młotkiem	with a hammer
wszystkie miejsca	all the places
wszystkie rzeczy	all the things
cała reszta	all the rest
wszystkie pieniądze	all the money
wszyscy ludzie	all the people
wszystkie dokumenty	all the documents
wszystkie informacje	all the information
wszystkie wspomnienia	all the memories
wszystkie państwa	all the countries
wszystkie zmiany	all the changes
cała miłość	all the love
wszystkie wiadomości	all the news
cała pomoc	all the help
być wkurwionym	to be pissed off
przejmować firmę	to take over a company
lubić coś robić	to like doing sth
podsumowywać coś	to wrap sth up
czuć się dobrze (o samopoczuciu)	to feel good
ograniczać picie alkoholu	to cut down on drinking
ustępować (o bólu)	to go away {2}
akceptować coś	to accept sth
proponować plan	to put forward a plan
wykonywać testament	to carry out your will
spisywać swój testament	to make your will
niezbędne materiały	the necessary materials
nadrabiać opóźnienie	to make up for a delay
rozważać za i przeciw	to weigh up the pros and cons
córka	a daughter
właściciel mieszkania	an apartment owner
bronić swoich interesów	to stand up for your interests
nie wchodzić komuś w drogę	to stay out of sb's way
rozważać dowody	to weigh up evidence
składać się z dwóch części	to be made up of two parts
ograniczać spożycie mięsa	to cut down on meat
uwydatniać to, co w kimś najlepsze	to bring out the best in sb
wysiadać (o prądzie)	to go off {4}
schrzanić pracę	to screw up a job
zepsuć się (o jedzeniu)	to go off {3}
wychodzić z baru	to leave the bar
pisać artykuł po angielsku	to write an article in English
sprawdzaćs słowo w słowniku	to look up a word in the dictionary
decydować się na coś (nie: opt)	to go for sth
dostawać wypłatę (nie: salary)	to get paid
iść z kimś do łóżka	to hook up
brać się w garść	to get a grip on yourself
Wielki Tydzień	Holy Week
Środa Popielcowa	Ash Wednesday
Wielki Czwartek [2]	Maundy Thursday; Holy Thursday
Wielki Piątek [2]	Good Friday; Holy Friday
Wielka Sobota [2]	Holy Saturday; Easter Eve
Wielkanoc	Easter
Poniedziałek Wielkanocny	Easter Monday
Wielki Post	Lent
pościć	to fast
święcić koszyk wielkanocny	to bless an Easter basket
ozdabiać jajko wielkanocne	to decorate an Easter egg
pisklę	a chick
króliczek	a bunny
żonkil	a daffodil
tulipan	a tulip
bazia	a catkin
cukrowy baranek	a sugar lamb
Niedziela Palmowa	Palm Sunday
być zamożnym	to be wealthy; to be well-off
burza	a storm
zaspokajać potrzeby swojego klienta	to meet your client's needs
udawać, że...	to pretend that...
być złym	to be mad
obrus	a tablecloth
doceniać coś	to appreciate sth
powstrzymywać się od czegoś	to refrain from sth
komentować	to make comments
być trzeźwym	to be sober
mieć wszystkie potrzebne informacje	to have all the information needed
ładowac laptopa	to charge a laptop
być perfekcyjnym kandydatem na coś	to be a perfect candidate for sth
znać angielski	to know English
kończyć z czymś	to be finished with sth
podwładny	a report
czekać	to wait
otwierać się	to open
przeklinać	to swear
być naprawdę wkurwionym	to be genuinely pissed off
palić jedzenie	to burn food
mieć z kimś rozmowę telefoniczną	to have a call with sb
błąd ortograficzny	a spelling mistake
czytać książki	to read books
przepisywać coś komuś	to prescribe sth to sb
kupować coś	to buy sth
być tanim	to be cheap
iść do bankomatu [2]	to go to the ATM; to go to the cash machine
wskaźnik	a rate
uzupełniać kogoś	to complement sb
płacić odsetki	to pay interest
zapominać o czymś	to forget about sth
mieć coś	to have sth
negocjować	to negotiate
zostać odrzuconym	to get rejected
przekazywać coś na czas	to hand sth on time
wypowiadać umowę (nie: agreement)	to terminate a contract
robić coś na czas	to do sth on time
cenić kogoś	to value sb
przeszkadzać komuś	to disturb sb
notować informacje	to note down information
traktować coś poważnie	to treat sth seriously
dobrze się rozwijać	to thrive
być bezczynnym	to be idle
myć zęby	to brush your teeth
czesać włosy	to brush your hair
spędzać czas, robiąc coś	to spend time on sth
niewiele pieniędzy	not much money
niewiele czasu	not much time
niewiele zabawy	not much fun
niewiele pomocy	not much help
niewiele rad	not much advice
niewiele informacji	not much information
niewiele wody	not much water
niewiele wiedzy	not much knowledge
niewiele dowodów	not much evidence
niewielki postęp	not much progress
niewiele jedzenia	not much food
niewiele pracy domowej	not much homework
niewiele rzeczy (nie: things)	not much stuff
niedużo przestrzeni	not much space
niewielu ludzi	not many people
niewiele razy	not many times
niewiele zwerząt	not many animals
niewielu uczniów	not many students
niewiele przyjaciół	not many friends
niewiele przykładów	not many examples
niewiele przypadków	not many cases
niewielu mężczyzn	not many men
niewiele kobiet	not many women
niewiele dzieci	not many children
niewiele pytań	not many questions
niewiele opcji	not many options
niewiele miejsc	not many places
niewiele rzeczy (nie: stuff)	not many things
niewielu graczy	not many players
niewielu z nas	not many of us
podwyżka płac [2]	a pay raise; a pay rise
mieć w czymś doświadczenie	to have experience in sth
ściszać muzykę	to turn down the music
rozmawiać z kimś (nie: talk)	to speak with sb
dostawać coś na urodziny	to get sth for your birthday
zabawka	a toy
udawać szczęśliwego	to pretend to be happy
odnosić odwrotny skutek	to backfire
w twoim rodzinnym mieście	in your hometown
dodawać coś do swojego kalendarza	to add sth to your calendar
grać w gry	to play games
posprzątać coś	to clean sth up
nalegać	to insist
zgadzać się	to agree
mierzyć coś	to measure sth
mieć odpowiednie narzędzia	to have the right tools
być szczęśliwym	to be happy
czytać wiadomość	to read a message
planować gdzieś pójść	to plan to go somewhere
utrzymywać kontakt wzrokowy	to keep eye contact
rządzić	to rule
być rozsądnym	to be reasonable
godziny pracy	working hours
działania marketingowe	marketing actions
docierać do swojej grupy odbiorców	to reach your target audience
rozwiązanie na coś	a solution for sth
być w stanie pomóc	to be able to help
mieć dzieci	to have kids
siedzieć	to sit
złożyć wypowiedzenie	to give notice
zrobić dobre wrażenie na kimś	to make a good impression on sb
aktualizować dane kontaktowe	to update contact details
próbować coś osiągnąć	to try to accomplish sth
rozpoznawać kogoś (nie: recognize)	to identify sb
napastnik	an assaulter
być w coś zaangażowanym	to be engaged in sth
angażować kogoś w rozmowę	to engage sb in the conversation
zastępować coś	to replace sb
brać tydzień wolnego	to take a week off
wracać samochodem do domu	to drive back home
wyciągać dziecko z łóżka	to get your child out of bed
tłumaczyć tekst	to translate a text
przepraszać za swoje błędy	to apologize for your mistakes
dział prawny	the legal department
jak również...	as well as...
osoba ekstrawertyczna	an extroverted person
mylić coś z czymś	to mistake sth for sth
sprawiać, żeby ktoś coś zrobił	to cause sb to do sth
pielęgnować coś	to foster sth
stanąć z powrotem na nogi	to get back on your feet
rozwód	a divorce
testować kogoś	to test sb
myśleć, że...	to think that...
być pozwanym	to be sued
ujawniać poufne informacje	to disclose confidential information
robić coś bez pozwolenia	to do sth without permission
grozić komuś	to threaten sb
kraść coś	to steal sth
płynąć wzdłuż wybrzeża	to coast
podlegać komuś	to report to sb
poprawiać coś	to correct sth
oświadczenie podatkowe	a tax declaration
leżeć na biurku	to lie on the desk
unikać kogoś	to avoid sb
szyć coś	to sew sth
opierać się pokusie, aby coś robić	to resist the temptation to do sth
dobrze coś rozumieć	to understand sth well
sugerować coś	to suggest sth
być na spotkaniu	to be at a meeting
podejście	an approach
wymagać czegoś	to require sth
zachowywać spokój	to stay calm
dzwonić do kogoś jeszcze raz	to call sb again
zakładać własny biznes	to set up your own business
być pod wrażeniem	to be impressed
mieć dla kogoś ofertę	to have an offer for sb
otrzymywać coś	to receive sth
otrzymywać zwrot kosztów	to receive reimbursement
wysyłać fakturę	to send an invoice
być obojętnym	to be indifferent
inwestować w projekt	to invest in a project
nie lubić kogoś	to dislike sb
dawać komuś znać, że...	to let sb know that...
pytać kogoś o zdanie	to consult with sb
etui	a case
być w biurze	to be in the office
uczęszczać na coś	to attend sth
kierować zespołem	to lead a team
piec	to bake
śmierdzieć	to smell
motywować	to motivate sb
podsumowanie	a summary
ograniczać się do czegoś	to limit yourself to sth
zaokrąglać coś do góry	to round sth up
zaokrąglać coś do dołu	to round sth down
zaokrąglać coś	to round sth
być sumiennym	to be conscientious
kiwać głową	to nod
podważać coś	to undermine sth
wyczerpywać coś	to deplete sth
wytrzymywać coś	to endure sth
obrażać kogoś	to insult sb
pragnąć czegoś	to desire sth
Ostatnim razem, kiedy rozmawialiśmy...	The last time we talked...
urozmaicać coś	to diversify sth
na trawie	on the grass
trawa	grass
drzewo	a tree
sadzić drzewo	to plant a tree
ścinać drzewo	to chop down a tree
deska toaletowa	a toilet seat
onieśmielać kogoś	to intimidate sb
wkrótce	shortly
w skrócie	in short
przyznawać coś	to admit sth
być czegoś pewnym	to be sure about sth
pojawiać się na imprezie	to show up at the party
wystawiać kogoś	to stand sb up
unikać odpowiedzialności	to avoid responsibility
pracować na nocną zmianę	to work the night shift
pracować w weekend	to work on the weekend
członek zespołu	a team member
pobłażliwy nauczyciel	a lenient teacher
być zamkniętym (na klucz)	to be locked
być surowym	to be strict
następnym razem	next time
pracować jako sędzia	to work as a judge
sędzia	a judge
termin porodu	a due date
trwać godzinę	to last an hour
wymyślać wymówkę	to make up an excuse
nakładać makijaż	to put on makeup
nakładać krem z filtrem	to put on sunscreen
zapominać o przeszłości (nie: forget)	to let go of the past
puszczać fajerwerki	to let off fireworks
na konferencji	at the conference
w grupie	in the group
znajdować coś	to find sth
inny	different
od razu	right away
zasługiwać na coś	to deserve sth
zaczynać nową pracę	to start a new job
gotować coś	to cook sth
mimo że	even though
pracować z domu	to work from home
iść do biura	to go to the office
natychmiast	immediately
wzywać policję	to call the police
być przygnębionym	to be depressed
coś do jedzenia	sth to eat
znać kogoś	to know sb
zaczynać naukę języka angielskiego	to start learning English
... kiedy byłem studentem	...when I was a student
potrzebować czegoś	to need sth
sprzedawać dom	to sell a house
papieros	a cigarette
wychodzić na miasto [2]	to go out; to hang out
przeprowadzić się do Warszawy	to move to Warsaw
spotykać się	to meet
opłata za wejście	an entry fee
mieć cukrzycę	to have diabetes
zakochiwać się w kimś (nie: for)	to fall in love with sb
gratulować komuś czegoś	to congratulate sb on sth
uczyć się czegoś na test	to study sth for a test
jeden z twoich klientów	one of your clients
rozmawiać z kimś osobiście	to talk to sb in person
motyw przewodni imprezy	a theme of a party
szwagier	a brother-in-law
siostrzenica	a niece
bratanek	a nephew
zaciągać kredyt hipoteczny	to take out a mortgage
być podejrzliwym	to be suspicious
spotykać się na Teamsach	to meet on Teams
mieć profil na facebooku	to have a profile on Facebook
trwać miesiąc	to be a month long
miesięczny projekt	a month-long project
być zdenerwowanym	to be nervous
być spiętym	to be tense
napięta atmosfera	a tense atmosphere
być pojedynczym	to be singular
wykonywać coś	to carry sth out
{\rtf1\ansi\ansicpg1250\deff0\nouicompat\deflang1045{\fonttbl{\f0\fnil\fcharset0 Calibri;}{\f1\fnil\fcharset238 Calibri;}}	
{\*\generator Riched20 10.0.19041}\viewkind4\uc1	
}	
być przyjacielskim	to be friendly
być na coś podekscytowanym	to be excited about sth
zajmować się dzieckiem	to take care of the kid
obciążać kogoś	to incriminate sb
nosić dresy	to wear sweatpants
wchodzić do budynku	to enter a building
myjnia samochodowa	a car wash
być nierealistycznym	to be unrealistic
prowadzić projekt	to lead a project
﻿być chętnym coś zrobić	to be willing to do sth
denerwować kogoś	to annoy sb
wymagać dużo pracy	to require a lot of work
wymagać dużo czasu	to require a lot of time
wymagać wyjaśnienia	to require explanation
cała rada	all the advice
całe powietrze	all the air
cała złość	all the anger
cały chaos	all the chaos
cała kawa	all the coffee
całe wyposażenie	all the equipment
cała motywacja	all the motivation
cały stres	all the stress
cały transport	all the transportation
całe mieszkanie	the whole apartment
całe ciało	the whole body
cała książka	the whole book
cały budynek	the whole building
całe miasto	the whole city
cała rodzina	the whole family
cały dom	the whole house
cały pomysł	the whole idea
cały film	the whole movie
cały problem	the whole problem
cała sytuacja	the whole situation
cała historia	the whole story
cały temat	the whole subject
cała prawda	the whole truth
cały świat	the whole world
ciśnienie krwi	blood pressure
tętno	a heart rate
opłakiwać kogoś	to mourn sb
łagodny symptom	a mild symptom
dawka	a dose
dbać o kogoś	to take care of sb
być religijnym	to be religious
być bogobojnym	to be God-fearing
wierzyć w Boga	to believe in God
płacić za coś w ratach	to pay for sth in installments
na dłuższą metę	in the long run
wynikać z czegoś	to stem from sth
siedzieć do późna	to sit up late
﻿wynajmować komuś mieszkanie	to rent out an apartment to sb
przyspieszać [2]	to accelerate; to speed up
pędzić	to speed
wkuwać na test	to cram for a test
troszczyć się o swoją rodzinę	to care about your family
przemoc domowa	domestic violence
wpadać w kłopoty	to get in trouble
nie pochwalać czegoś	to disapprove of sth
zgadywać coś	to guess sth
przeglądać Facebooka	to scroll Facebook
działać w obie strony	to work both ways
oddychać	to breathe
metafora	a metaphor
subskrypcja	a subscription
błędne koło	a vicious circle
doładowywać telefon	to top up your phone
grać na perkusji	to play drums
koncert	a gig
wykopywać kogoś	to kick sb out
dosłownie	literally
w ostatniej scenie	in the last scene
w ostatniej pracy	in the last job
pobierać od kogoś opłatę za coś	to charge sb for sth
pobierać od kogoś dodatkową opłatę	to charge sb extra
działać w obie strony/to work both ways	
oddychać/to breathe	
metafora/a metaphor	
wspominać coś komuś/to mention sth to sb	
subskrypcja/a subscription	
błędne koło/a vicious circle	
doładowywać telefon/to top up your phone	
grać na perkusji/to play drums	
koncert/a gig	
wykopywać kogoś/to kick sb out	
dosłownie/literally	
ostatni sezon/the last season	
w ostatniej scenie/in the last scene	
w ostatniej pracy/in the last job	
pierwszy semestr/the first semester	
pobierać od kogoś opłatę za coś/to charge sb for sth	
pobierać od kogoś dodatkową opłatę/to charge sb extra	
robić grilla	to have a barbecue
jechać na wycieczkę do miasta	to go on a city break
jechać na camping	to go camping
iść popływać kajakami	to go canoeing
pływać kajakiem	to go kayaking
iść na wędrówkę	to go hiking
mieć piknik	to have a picnic
grać w tenisa	to play tennis
iść do parku rozrywki	to go to a theme park
rozpieszczać się w spa	to pamper at the spa
przejechać się rollercoasterem	to take a rollercoaster ride
iść na degustację wina	to go wine tasting
zbliżać się do kogoś	to approach sb
słuchać czegoś	to listen to sth
grać w grę	to play a game
grać w karty	to play cards
grać w piłkę nożną	to play soccer
grać na gitarze	to play the guitar
grać na pianinie	to play the piano
wyznaczać granicę	to set a boundary
brać udział w protestach antywojennych	to take part in anti-war protests
przygotowywać kogoś do czegoś	to prepare sb for sth
robić coś na zmianę	to take turns
lądować	to land
biadolić	to whine
skutkować czymś	to result in sth
skutkować utratą wagi	to result in weight loss
iść na urlop macierzyński	to go on maternity leave
iść na urlop ojcowski	to go on paternity leave
choroba [3]	a sickness; an illness; a disease
schronienie	a shelter
ostatecznie [2]	in the end; eventually
na koniec miesiąca	at the end of the month
na koniec podróży	at the end of the trip
na końcu filmu	at the end of the movie
data ważności	an expiry date
wygasać (o umowie)	to expire
usuwać tatuaż	to remove a tattoo
dom spokojnej starości	a retirement home
trumna	a coffin
składać stół	to put together a table
łóżeczko dziecięce	a crib
składać coś [2]	to assemble sth; to put sth together
kończyć jak ktoś	to end up like sb
zarywać nockę	to pull an all-nighter
upewniać się, że...	to make sure that...
besztać kogoś	to scold sb
komnata	a chamber
przykazanie	a commandment
uczta	a feast
kilka razy w miesiącu	a few times a month
kilka razy w tygodniu	a few times a week
kilka razy w roku	a few times a year
mucha	a fly
żywopłot	a hedge
pies (nie: dog)	a hound
liść	a leaf
kącik	a nook
salon (np. kosmetyczny)	a parlor
gołąb	a pigeon
wróżba	a prophecy
pogłoska	a rumour
zardzewiały klucz	a rusty key
stajnia	a stall
kolec	a thorn
łopatka wentylatora	a vane
Minął rok...	A year has gone by...
w końcu	at last
pięć razy w tygodniu	five times a week
len	flax
raz dziennie	once a day
raz w miesiącu	once a month
raz w roku	once a year
riches	riches
trzy razy dziennie	three times a day
trzy razy w miesiącu	three times a month
trzy razy w tygodniu	three times a week
trzy razy w roku	three times a year
stanąć w miejscu	to become still
schylać się	to bend
przyznawać coś komuś	to bestow sb sth
wydawać dziecko na świat	to bring a child into the world
spalić coś	to burn sth up
pełzać	to creep
dobiegać końca	to draw to an end
padać martwym	to fall down dead
zapadać w głęboki sen	to fall into a deep sleep
migotać (o płomieniu)	to flicker
wróżyć coś	to foretell sth
spełniać życzenie	to fulfill a wish
mijać (o czasie)	to go by
ruszać naprzód	to go forth
oglądać się za siebie	to look round
wspinać się wyżej	to mount higher
rozchodzić się	to part
przechodzić przez płot	to pass the fence
piec się	to roast
chronić kogoś przed nieszczęściem	to save sb from misfortune
kucać na ziemi	to squat on the ground
wystawać z czegoś	to stick out of sth
garbić się (nie: slouch)	to stoop
przekręcać klucz	to turn a key
odwracać się	to turn away
skręcić się	to twist round
machać ogonem	to wag your tail
przechadzać się	to wander about
dwa razy dziennie	twice a day
dwa razy w miesiącu	twice a month
dwa razy w tygodniu	twice a week
dwa razy w roku	twice a year
cnota	virtue
ze zdumieniem	with wonderment
pracować jako menedżer	to work as a manager
pracować jako wykładowca	to work as a lecturer
pracować jako lekarz	to work as a doctor
pracować jako księgowa	to work as an accountant
pracować jako blogger	to work as a blogger
pracować jako nauczyciel	to work as a teacher
pracować jako detektyw	to work as a detective
pracować jako analityk	to work as an analyst
pracować jako stażysta	to work as an intern
pracować jako asystentka	to work as an assistant
pracować jako dziennikarz	to work as a journalist
pracować jako freelancer	to work as a freelancer
pracować jako taksówkarz	to work as a cab driver
pracować jako kucharz	to work as a cook
pracować jako prawnik	to work as a lawyer
pracować jako aktor	to work as an actor
być wzruszającym	to be touching
wierzyć w coś	to believe in sth
zabierać kogoś do restauracji	to take sb to a restaurant
płacić ratę	to pay an installment
mieć pasję do czegoś	to have a passion for sth
chrapać	to snore
rozważać zrobienie czegoś	to consider doing sth
spać osobno	to sleep separately
spać razem	to go to sleep together
sugestia	a suggestion
przejmować się czymś	to care about sth
uczyć się, jak coś robić	to learn how to do sth
wkuwać na egzamin	to cram for the exam
stosować się do czegoś	to comply with sth
dotacja	a subsidy
mieć na kogoś wpływ	to have an impact on sb
płótno malarskie	canvas
malować	to paint
sukces	a success
komunikować się	to communicate
pracować do późna	to work late
przeceniać coś	to overestimate sth
chcieć coś zrobić	to want to do sth
przerabiać temat	to cover a subject
robić coś na lekcji	to do sth in class
wiedzieć o czymś	to know about sth
zapobiegać rozprzestrzenianiu się choroby	to prevent the spread of disease
ambasada	an embassy
kurczyć się	to shrink
pić zdecydowanie za dużo	to drink way too much
robić coś zbyt często	to do sth way too often
mieć wolny termin	to have a free slot
znajdywać wolne miejsce	to find a free slot
były prezydent	a former president
dawny kolega z pracy	a former colleague
ten pierwszy	the former
ten ostatni (nie: last)	the latter
rozpieszczać swoje dzieci	to spoil your kids
rozwydrzony bachor	a spoiled brat
powtarzać sobie skrypt	to rehearse the script
robić próbę przedstawienia	to rehearse a play
próba (nie: attempt, trial)	a rehearsal
﻿czuć się źle z powodu czegoś	to feel bad about sth
czuć się dobrze z czymś	to feel good about sth
czuć się dobrze we własnej skórze	to feel good about yourself
czwartek	Thursday
myśleć	to think
brać taksówkę	to take a cab
otwierać konto	to open an account
patrzeć na siebie nawzajem	to look at each other
rozmawiać ze sobą nawzajem	to talk to each other
wołowina	beef
wieprzowina	pork
jelito cienkie	a small intestine
jelito grube	a large intestine
język (część ciała)	a tongue
żołądek	a stomach
wątroba	a liver
nerka	a kidney
pęcherz moczowy	a bladder
serce	a heart
śledziona	a spleen
mózg	a brain
trzustka	a pancreas
tarczyca	a thyroid
zwracać uwagę na szczegóły	to pay attention to detail
umniejszać coś	to diminish sth
żuć gumę	to chew a gum
zapisywać się na kurs	to sign up for a course
prokurator okręgowy	a district attorney
nosić maseczki	to wear face masks
policzyć komuś (do zapłaty)	to charge sb
chwalić się czymś	to brag about sth
zmniejszać się	to drop
akcja	a share
przyjeżdżać póżniej	to arrive later
impreza	a party
wybór (nie: choice)	an election
pozwalać komuś coś zrobić	to let sb do sth
zaprzeczać prawdzie	to deny the truth
ładować telefon komórkowy	to charge your cell phone
wapń	calcium
jagnię	a lamb
borykać się z czymś	to struggle with sth
składnik odżywczy	a nutrient
węglowodany [2]	carbohyrates; carbs
mieć dużo węglowodanów (nie: have) [2]	to be high in carbs; to be high in carbohydrates
niezbędny składnik odżywczy (nie: important, vital, significant)	an essential nutrient
odbierać dziecko ze szkoły	to pick up a kid from school
uświadamiać komuś coś	to make sb realize sth
skłaniać kogoś do myślenia	to make sb think
sprawiać, by ktoś znikał	to make sb disappear
wyprowadzać się z mieszkania	to move out of an apartment
kosić trawnik	to mow the lawn
kosiarka	a lawn mower
przycinać coś	to trim sth
być nieuprzejmym wobec kogoś	to be impolite to sb
skrót	an abbreviation
następny krok	the next step
następnego ranka	the next morning
mieć wolność słowa	to have freedom of speech
pierwszy rozdział	the first chapter
być wpływowym	to be influential
Azja	Asia
bielizna damska (nie: underwear)	lingerie
zagrożenie	a menace
brać winę za coś	to take the blame for sth
zawalać się	to collapse
całkowicie	totally
polityk	a politician
cel	a goal
gol	a goal {2}
być zbyt leniwym, żeby coś robić	to be too lazy to do sth
wprowadzać coś na rynek	to roll sth out
nie mieć czasu	to have no time
robić coś z czymś	to do sth about sth
iść do fryzjera	to have your hair cut
lubić swoje sąsiedztwo	to like your neighborhood
zmieniać temat	to change the subject
ukrywać coś przed kimś	to hide sth from sb
radzić sobie z problemem (nie: problem)	to deal with an issue
ofiara czegoś	a victim of sth
bluza z kapturem	a hoodie
prać coś w temperaturze	to wash sth at a temperature
myśleć o swojej rodzinie	to think about your family
czekać na kogoś, żeby coś zrobił	to wait for sb to do sth
być z czymś związanym	to be related to sth
sprawić, że ktoś poczuje się silny	to make sb feel strong
woda święcona	holy water
według czegoś	according to sth
zgodnie z polskim prawem	according to the Polish law
w szczerym polu	in the middle of nowhere
broda	a beard
wymigiwać się od czegoś	to get away with sth
docierać do celu	to reach your destination
być pełnym napięcia	to be suspenseful
wyciekać	to leak
iść do mechanika, żeby naprawić samochód	to get your car fixed
sprawiać, że ktoś się uczy angielskiego	to make sb learn English
być wdzięcznym komuś za coś	to be grateful to sb for sth
odkrywać coś	to discover sth
zapobiegać czemuś	to prevent sth
obijać się	to laze around
ruszać dupę do pracy	to get your ass to work
być skazanym za coś	to be convicted of sth
wyrażać swoje uczucia	to express your feelings
usypiać kogoś	to make sb sleep
utrudniać komuś życie	to make sb's life harder
pomagać sobie nawzajem	to help each other
wyrzucać kogoś z domu	to throw sb out of the house
iść na trening piłki nożnej	to go to soccer practice
usuwać plamę	to remove a stain
wychodzić (o filmie)	to come out
rzeczniczka	a spokeswoman
dyrektor	a director
orkiestra	an orchestra
konduktor	a conductor
uważnie kogoś słuchać	to listen to sb carefully
Niedziela Wielkanocna	Easter Sunday
mieć zapalenie oskrzeli	to have bronchitis
oskrzela	bronchi
mieć zapalenie zatok	to have sinusitis
zatoki przynosowe	sinuses
stan zapalny	an inflammation
manipulować kimś, aby ta osoba zwątpiła w swoje zdrowie psychiczne	to gaslight sb
steroid	a steroid
mieć opryszczkę	to have herpes
robić sobie tatuaż	to get a tattoo
Najpierw...	At first...
robić rozgrzewkę	to have a warm-up
robić deskę (ćwiczenie na brzuch)	to do a plank
robić pajacyka	to do a jumping jack
robić brzuszek	to do a crunch
robić rowerek	to do a bicycle crunch
robić przysiad	to do a squat
robić pompkę	to do a push-up
robić nożyce poziome (ćwiczenie na brzuch)	to do scissors
zwiększać wytrzymałość	to increase endurance
wykonywać ćwiczenie	to perform an exercise
biegać na bieżni	to run on a treadmill
mieć trenera personalnego	to have a personal trainer
podnosić ciężary	to lift weights
brać suplementy	to take supplements
spalać tłuszcz	to burn fat
budować mięśnie	to build muscle
deska do nauki pływania	a kickboard
w górach	in the mountains
zginać kolana	to bend your knees
kończyć osiemnaście lat	to turn eighteen
ratownik wodny	a lifeguard
robić cardio	to do cardio
mieć niedobór	a have a deficiency
naśladować kogoś	to imitate sb
brzmieć znajomo (nie: sound)	to ring a bell
